ID,TalkMove_Pred,Transcript,Turn,Sentence,TalkMove_Truth
0,None,TalkBack.Year1.Benson.Fall.121019,1,Okay so can you guys see,None
2,None,TalkBack.Year1.Benson.Fall.121019,3,Yes your learning intention is you can multiply twodigit numbers by twodigit numbers,None
3,None,TalkBack.Year1.Benson.Fall.121019,3,Were building up our skills two digits by two digits and were going to use partial product strategy,None
141,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,71,Any disagreements with how Carson set up her partition rectangle,Getting Students to Relate to Another's Ideas
142,None,TalkBack.Year1.Benson.Fall.121019,71,Jesse,Keeping Everyone Together
144,None,TalkBack.Year1.Benson.Fall.121019,73,She just talked you through,None
145,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,73,What did you do differently,Getting Students to Relate to Another's Ideas
147,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,75,Did you forget to add 2 zeros,Keeping Everyone Together
149,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,77,Do you see where your revision would happen,Keeping Everyone Together
150,None,TalkBack.Year1.Benson.Fall.121019,77,Okay,None
151,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,77,Anyone else have a different response,Getting Students to Relate to Another's Ideas
152,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,77,Anyone do it differently as far as the partition rectangle goes,Getting Students to Relate to Another's Ideas
153,None,TalkBack.Year1.Benson.Fall.121019,77,Everyone on the count of three were going to give Carson a big excellent,None
154,None,TalkBack.Year1.Benson.Fall.121019,77,One two three,None
156,None,TalkBack.Year1.Benson.Fall.121019,79,Thank you,None
157,None,TalkBack.Year1.Benson.Fall.121019,79,My book is still up there so you wont see the partition rectangle anymore,None
158,None,TalkBack.Year1.Benson.Fall.121019,79,Who got all the way to doing it partial product way,Keeping Everyone Together
159,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,79,Anyone feel pretty confident about how they did it and would be willing to share,Pressing for Accuracy
160,None,TalkBack.Year1.Benson.Fall.121019,79,These hands went Matt feeling confident,Keeping Everyone Together
161,None,TalkBack.Year1.Benson.Fall.121019,79,Put your book right on top of mine and well be able to see what youre doing,None
16,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,5,How do you know he is right,Getting Students to Relate to Another's Ideas
17,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,6,Talk about what steps you took to get there,Pressing for Accuracy
18,None,TalkBack.Year1.Benson.Fall.121019,6,Im sorry,None
