Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,None,7008,7264,0.7940275650842267,0.5246655337388783
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,134,0.9873660030627871,0.5384590671300117
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1417,520,0.8500191424196019,0.1274817609119035
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1364,1026,0.8836140888208269,0.426985062822166
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,831,0.9315658499234303,0.23551887112976155
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Revoicing,242,398,0.9586523736600306,0.3049776966373133
TalkMoves_Teacher_FewShot_3,anthropic.claude-4.5-sonnet,Restating,137,275,0.9825803981623277,0.5503820320786829
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,None,7075,7851,0.7817871047383914,0.47498137286942144
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,156,126,0.987275662330263,0.5184481458352483
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Keeping Everyone Together,1431,480,0.8437945114424081,0.07612860361812586
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Accuracy,1365,690,0.89431203114614,0.4067569260389917
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Pressing for Reasoning,124,789,0.9364732693951192,0.2520287699576553
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Revoicing,242,369,0.9628715221726332,0.3417961922010536
TalkMoves_Teacher_FewShot_3,google.gemini-2.5-pro,Restating,138,226,0.985946253917007,0.5866809797534205
TalkMoves_Teacher_FewShot_3,openai.gpt-5,None,7076,6633,0.779455046045761,0.5157378534323284
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,179,0.9881325358397418,0.6208649333214689
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Keeping Everyone Together,1431,1076,0.8166714136523308,0.12807184756673207
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Accuracy,1366,1316,0.9037311307319852,0.566789244864383
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Pressing for Reasoning,124,717,0.9433209911706066,0.27558935108912236
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Revoicing,242,438,0.9614544764074813,0.38473059578317986
TalkMoves_Teacher_FewShot_3,openai.gpt-5,Restating,138,174,0.99126554637805,0.7007552175975358
TalkMoves_Teacher_FewShot_3,openai.o3,None,7071,6874,0.8093292798783963,0.5738466868290014
TalkMoves_Teacher_FewShot_3,openai.o3,Getting Students to Relate to Another's Ideas,156,237,0.9847045411362341,0.5828746565770093
TalkMoves_Teacher_FewShot_3,openai.o3,Keeping Everyone Together,1429,904,0.8416302489074672,0.20145533311312855
TalkMoves_Teacher_FewShot_3,openai.o3,Pressing for Accuracy,1366,1137,0.905662169865096,0.5502501818608663
TalkMoves_Teacher_FewShot_3,openai.o3,Pressing for Reasoning,124,793,0.9358730761922858,0.24859433665148142
TalkMoves_Teacher_FewShot_3,openai.o3,Revoicing,242,385,0.9632338970169105,0.36484195275500364
TalkMoves_Teacher_FewShot_3,openai.o3,Restating,138,196,0.9889796693900818,0.6472670924442786
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,None,7069,7732,0.7977004941087039,0.5176479118466828
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,119,0.9883124287343216,0.5469147054993916
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1429,419,0.8519574306347396,0.10160940449348836
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1366,829,0.8885404789053591,0.40751411351245675
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,793,0.935100722158875,0.2396857828413503
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Revoicing,242,374,0.959711136450019,0.2919168081084568
TalkMoves_Teacher_FewShot_ALL,anthropic.claude-4.5-sonnet,Restating,138,258,0.984226529836564,0.5735210541425693
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,None,6732,7607,0.788955223880597,0.4886557699457247
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,152,130,0.9878606965174129,0.5612578634356484
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Keeping Everyone Together,1357,380,0.8480597014925373,0.06570138071648143
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Accuracy,1316,621,0.8960199004975125,0.41105723532778454
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Pressing for Reasoning,121,732,0.9390049751243781,0.26619670094929315
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Revoicing,237,362,0.963681592039801,0.3727730944151558
TalkMoves_Teacher_FewShot_ALL,google.gemini-2.5-pro,Restating,135,218,0.9869651741293533,0.6226342084218313
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,None,7077,7454,0.8201233981964879,0.5804171061267144
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,177,0.9881347887992407,0.6186211076908291
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Keeping Everyone Together,1431,434,0.8487897484575225,0.0882017478638497
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Accuracy,1367,1225,0.9117228286663502,0.591045752970773
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Pressing for Reasoning,124,664,0.9483626008542952,0.29567349169979473
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Revoicing,242,409,0.9638348362600855,0.3973518425291016
TalkMoves_Teacher_FewShot_ALL,openai.gpt-5,Restating,138,172,0.9916468913146654,0.7119418539400908
TalkMoves_Teacher_FewShot_ALL,openai.o3,None,7073,7276,0.8220765650232735,0.5902999663775811
TalkMoves_Teacher_FewShot_ALL,openai.o3,Getting Students to Relate to Another's Ideas,156,214,0.985560938538995,0.5820242399735412
TalkMoves_Teacher_FewShot_ALL,openai.o3,Keeping Everyone Together,1429,583,0.8519996200246984,0.15952784933568587
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Accuracy,1366,1111,0.9060511066780659,0.5481273605826907
TalkMoves_Teacher_FewShot_ALL,openai.o3,Pressing for Reasoning,124,805,0.9347392419492733,0.24508433922832168
TalkMoves_Teacher_FewShot_ALL,openai.o3,Revoicing,242,351,0.9660872043317185,0.3811345567577273
TalkMoves_Teacher_FewShot_ALL,openai.o3,Restating,137,187,0.9889807162534435,0.6365148488916548
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,None,7069,7738,0.79903078677309,0.5205959961596436
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,122,0.9884074496389206,0.5553662408470945
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1429,415,0.8527175978715318,0.10471825040644468
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1366,835,0.8891106043329533,0.41186443664872124
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,787,0.935670847586469,0.24141765475733729
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Revoicing,242,372,0.9599011782592171,0.2930040460462232
TalkMoves_Teacher_OneShot,anthropic.claude-4.5-sonnet,Restating,138,255,0.984511592550361,0.578061724459553
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,None,6811,7652,0.7920938485804416,0.49634786984656776
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,151,134,0.987480283911672,0.5480598279924177
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Keeping Everyone Together,1379,403,0.8468059936908517,0.07081335166583509
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Accuracy,1314,627,0.8983635646687698,0.4203186963923904
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Pressing for Reasoning,123,745,0.9384858044164038,0.2658246229697524
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Restating,134,228,0.9858044164037855,0.5954787340100758
TalkMoves_Teacher_OneShot,google.gemini-2.5-pro,Revoicing,232,355,0.9644124605678234,0.3675120142153259
TalkMoves_Teacher_OneShot,openai.gpt-5,None,7076,7414,0.816404025061705,0.5730300654313639
TalkMoves_Teacher_OneShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,195,0.9862350484146573,0.579983358054266
TalkMoves_Teacher_OneShot,openai.gpt-5,Keeping Everyone Together,1431,435,0.844883235238276,0.06511798023341299
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Accuracy,1367,1232,0.9118093791532181,0.5924090794098922
TalkMoves_Teacher_OneShot,openai.gpt-5,Pressing for Reasoning,124,678,0.9470286690715778,0.2901106311934464
TalkMoves_Teacher_OneShot,openai.gpt-5,Revoicing,242,410,0.9639263337763433,0.3998375945765707
TalkMoves_Teacher_OneShot,openai.gpt-5,Restating,138,170,0.9916460983482058,0.710093221314305
TalkMoves_Teacher_OneShot,openai.o3,None,7072,7244,0.8231214971026883,0.5937172118972762
TalkMoves_Teacher_OneShot,openai.o3,Getting Students to Relate to Another's Ideas,156,206,0.9863208891422057,0.5953857758517128
TalkMoves_Teacher_OneShot,openai.o3,Keeping Everyone Together,1430,610,0.8519996200246984,0.16874470362606553
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Accuracy,1367,1126,0.9058611190272632,0.5496607062788276
TalkMoves_Teacher_OneShot,openai.o3,Pressing for Reasoning,124,791,0.9351192172508787,0.23803382712466958
TalkMoves_Teacher_OneShot,openai.o3,Revoicing,242,368,0.9629524080934739,0.3424163727276238
TalkMoves_Teacher_OneShot,openai.o3,Restating,136,181,0.9894556853804503,0.6445990011031594
TalkMoves_Teacher_OneShot,openai.o3,Getting Students to Relate to Anothers Ideas,0,1,0.9999050061745987,0
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,None,7077,7728,0.7959745561568404,0.5138332041100667
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Getting Students to Relate to Another's Ideas,156,128,0.9870881989936391,0.5146471073741778
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Keeping Everyone Together,1431,412,0.8514193487135668,0.09592569588127015
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Accuracy,1365,889,0.8917687268584449,0.4366431501840162
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Pressing for Reasoning,124,741,0.9406626791987088,0.2625830922463817
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Revoicing,242,383,0.9590809835754296,0.29041915184909606
TalkMoves_Teacher_ZeroShot,anthropic.claude-4.5-sonnet,Restating,138,252,0.9848096458748694,0.582677738603052
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,None,7077,7925,0.7841480778357854,0.4777925617136073
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Getting Students to Relate to Another's Ideas,156,131,0.9885144755576649,0.5726199285003768
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Keeping Everyone Together,1431,439,0.8452776459420978,0.06896442166224832
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Accuracy,1367,677,0.8969150450878025,0.4187253100730173
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Pressing for Reasoning,124,744,0.9407688656858092,0.2663016910516975
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Revoicing,242,387,0.9628856193640247,0.36029622902323405
TalkMoves_Teacher_ZeroShot,google.gemini-2.5-pro,Restating,138,232,0.9869008068343617,0.620797836573448
TalkMoves_Teacher_ZeroShot,openai.gpt-5,None,7077,7384,0.8191741813004272,0.5804368189749197
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,156,184,0.9870906502135738,0.5934846780755901
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Keeping Everyone Together,1431,498,0.8463217845277646,0.09740167337867175
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Accuracy,1367,1224,0.9150450878025629,0.6063083113661765
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Reasoning,124,670,0.9479829140958709,0.29583601162633255
