ID,TalkMove_Pred,Transcript,Turn,Sentence,TalkMove_Truth
0,None,TalkBack.Year1.Benson.Fall.121019,1,Okay so can you guys see,None
2,None,TalkBack.Year1.Benson.Fall.121019,3,Yes your learning intention is you can multiply twodigit numbers by twodigit numbers,None
3,None,TalkBack.Year1.Benson.Fall.121019,3,Were building up our skills two digits by two digits and were going to use partial product strategy,None
4,None,TalkBack.Year1.Benson.Fall.121019,3,Well practice using the partitioned rectangles but then apply that practice doing partial products,None
5,None,TalkBack.Year1.Benson.Fall.121019,3,Youll be successful if you can solve twodigit by twodigit numbers and you can match your partitioned rectangles to your partial products,None
6,None,TalkBack.Year1.Benson.Fall.121019,3,Making sure that you can see how your answers should be the same,None
7,None,TalkBack.Year1.Benson.Fall.121019,3,Okay,None
8,None,TalkBack.Year1.Benson.Fall.121019,3,Youre mental math youre just doing quick extended facts,None
9,None,TalkBack.Year1.Benson.Fall.121019,4,No youre not going to work and your math message is at the top of page 130 just problem one,None
10,None,TalkBack.Year1.Benson.Fall.121019,4,Theres a partitioned rectangle problem followed by a partial products problem,None
11,None,TalkBack.Year1.Benson.Fall.121019,4,Please go check your homework with a partner,Keeping Everyone Together
12,None,TalkBack.Year1.Benson.Fall.121019,4,Get started on mental math,None
13,None,TalkBack.Year1.Benson.Fall.121019,4,Do problem one on page 130 and well get started in about eight minutes,None
14,None,TalkBack.Year1.Benson.Fall.121019,4,Go,Keeping Everyone Together
15,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,4,Why are you just automatically changing your answer,Pressing for Reasoning
16,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,5,How do you know he is right,Getting Students to Relate to Another's Ideas
17,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,6,Talk about what steps you took to get there,Pressing for Accuracy
18,None,TalkBack.Year1.Benson.Fall.121019,6,Im sorry,None
19,None,TalkBack.Year1.Benson.Fall.121019,6,If you werent,None
20,None,TalkBack.Year1.Benson.Fall.121019,7,You guys should go ask someone else,None
107,None,TalkBack.Year1.Benson.Fall.121019,55,What have we been doing,Pressing for Accuracy
108,None,TalkBack.Year1.Benson.Fall.121019,56,A twodigit times a onedigit right,Keeping Everyone Together
109,None,TalkBack.Year1.Benson.Fall.121019,56,So its a little bit different,None
110,None,TalkBack.Year1.Benson.Fall.121019,56,Let me make sure I have the right I dont think I have the right page,None
111,None,TalkBack.Year1.Benson.Fall.121019,57,Thats not the right one,None
112,None,TalkBack.Year1.Benson.Fall.121019,58,Yes thats not the right one,None
